,Unnamed: 0,job_id,mat,is_bpe,v_size,freq_cutoff,sim_cutoff,tkz_path,p_ratio,m_ratio,ulength_mean,ulength_std,util10,util30,util50,used_ulength_mean,used_ulength_std,used_p_ratio,used_m_ratio
76,76,76,blosum62,False,3200,0,0.7,hf_uniref50_mutbpe_0.7_3_12_0_3200.json,0.10125,0.7853125,3.0975,0.7483607176196174,0.9615625,0.93125,0.9146875,2.217198826228553,0.6243154399246396,0.077315409688605,0.2187952147227705
77,77,77,blosum62,False,51200,0.2,0.9,hf_uniref50_mutbpe_0.9_3_12_0.2_51200.json,0.2027734375,0.26177734375,4.291953125,2.5778372185300555,0.915859375,0.53310546875,0.33373046875,3.049259802627816,1.1566118219443584,0.1378056419419681,0.0938922949598495
78,78,78,blosum62,False,1600,0.2,0.7,hf_uniref50_mutbpe_0.7_3_12_0.2_1600.json,0.120625,0.654375,2.7925,0.5131845174672606,0.9975,0.996875,0.996875,2.090515415583099,0.6097889141796464,0.0631213989275171,0.1596917232981706
79,79,79,blosum62,False,800,0.005,0.7,hf_uniref50_mutbpe_0.7_3_12_0.005_800.json,0.0575,0.535,2.635,0.66507737135416,0.995,0.99125,0.98625,1.8794259886790643,0.5802164808785777,0.0275984754555064,0.0816007445355028
80,80,80,blosum62,True,25600,,,hf_uniref50_bpe_25600.json,0.0,0.0,3.935,1.5175811223742983,0.9956640625,0.99359375,0.6744921875,2.844670567403425,0.9389069423435866,0.0,0.0
81,81,81,blosum62,False,6400,0,0.7,hf_uniref50_mutbpe_0.7_3_12_0_6400.json,0.0915625,0.85078125,3.564375,1.206035085817639,0.9121875,0.85703125,0.82140625,2.3639410860104544,0.6678228473776027,0.0947202574882692,0.2805484447138842
82,82,82,blosum62,False,800,0.1,0.9,hf_uniref50_mutbpe_0.9_3_12_0.1_800.json,0.085,0.09375,2.52,0.5831166532428236,0.995,0.99375,0.99375,1.9429831552237529,0.5623829762612703,0.0175214196496717,0.0119282440089395
83,83,83,blosum62,False,12800,0.2,0.8,hf_uniref50_mutbpe_0.8_3_12_0.2_12800.json,0.19359375,0.701796875,3.6634375,0.6302582540779187,0.999609375,0.98578125,0.89984375,2.601677237840896,0.7724510451920285,0.1726681044827666,0.2130520321901163
84,84,84,blosum62,False,25600,0.2,0.7,hf_uniref50_mutbpe_0.7_3_12_0.2_25600.json,0.0981640625,0.88140625,3.8641015625,1.0022477440670152,0.9987109375,0.8405078125,0.6327734375,2.80196210189526,0.8632450508408841,0.143254764997861,0.4562547981782689
85,85,85,blosum62,False,25600,0.005,0.9,hf_uniref50_mutbpe_0.9_3_12_0.005_25600.json,0.21578125,0.3274609375,3.962109375,1.483469418174428,0.9234375,0.8330859375,0.6726171875,2.8024138965741785,0.9150210915164014,0.1192835473498069,0.079045942388764
86,86,86,blosum62,False,25600,0,0.9,hf_uniref50_mutbpe_0.9_3_12_0_25600.json,0.2155078125,0.32765625,3.963984375,1.48767077220982,0.92265625,0.833046875,0.6725390625,2.802222939649985,0.9149505279006306,0.1192747860772686,0.079016998436196
87,87,87,blosum62,False,12800,0.1,0.7,hf_uniref50_mutbpe_0.7_3_12_0.1_12800.json,0.090703125,0.878671875,3.648046875,0.6609585864324242,0.99953125,0.943984375,0.839453125,2.5808275309720754,0.7574721649615155,0.1170320839053457,0.3731623134230426
88,88,88,blosum62,False,25600,0.1,0.8,hf_uniref50_mutbpe_0.8_3_12_0.1_25600.json,0.170703125,0.7719921875,3.87359375,0.9003853356678194,0.97875,0.78921875,0.62390625,2.778477321521322,0.8665276860779985,0.1999179200519203,0.2824032446193429
89,89,89,blosum62,False,12800,0.05,0.7,hf_uniref50_mutbpe_0.7_3_12_0.05_12800.json,0.084140625,0.88453125,3.650234375,0.6734677548709558,0.995,0.894140625,0.795859375,2.561245933104084,0.7517888551745484,0.1132965863252741,0.3641155800098283
90,90,90,blosum62,False,6400,0.005,0.8,hf_uniref50_mutbpe_0.8_3_12_0.005_6400.json,0.16984375,0.68359375,3.47265625,0.9022566249728464,0.95671875,0.91890625,0.88796875,2.3913639964327755,0.680238627719308,0.1413484052277931,0.1588784319430662
