,job_id,mat,tkz_path,is_bpe,v_size,freq_cutoff,sim_cutoff,same_count_pos,same_count_neg,sibling_count_pos,sibling_count_neg
181,181,blosum45,hf_uniref50_mutbpe_0.9_3_12_0.1_1600.json,False,1600,0.1,0.9,111511,74185,49,7
182,182,blosum45,hf_uniref50_mutbpe_0.8_3_12_0.005_3200.json,False,3200,0.005,0.8,108240,71892,3022,1077
183,183,blosum45,hf_uniref50_mutbpe_0.9_3_12_0.2_1600.json,False,1600,0.2,0.9,111520,74165,48,7
184,184,blosum45,hf_uniref50_mutbpe_0.9_3_12_0_1600.json,False,1600,0,0.9,111478,74205,50,8
185,185,blosum45,hf_uniref50_mutbpe_0.7_3_12_0_800.json,False,800,0,0.7,105833,70516,2851,1225
186,186,blosum45,hf_uniref50_mutbpe_0.7_3_12_0_51200.json,False,51200,0,0.7,93361,60496,11032,4730
187,187,blosum45,hf_uniref50_mutbpe_0.9_3_12_0.005_12800.json,False,12800,0.005,0.9,101005,66923,601,144
188,188,blosum45,hf_uniref50_mutbpe_0.8_3_12_0.2_51200.json,False,51200,0.2,0.8,95617,61866,6198,2199
189,189,blosum45,hf_uniref50_mutbpe_0.7_3_12_0.005_25600.json,False,25600,0.005,0.7,95060,62163,9990,4316
190,190,blosum45,hf_uniref50_mutbpe_0.7_3_12_0.005_1600.json,False,1600,0.005,0.7,103616,69041,4645,1958
191,191,blosum45,hf_uniref50_mutbpe_0.8_3_12_0_800.json,False,800,0,0.8,110016,73225,1214,411
192,192,blosum45,hf_uniref50_mutbpe_0.7_3_12_0.1_51200.json,False,51200,0.1,0.7,93933,60908,10897,4642
193,193,blosum45,hf_uniref50_mutbpe_0.9_3_12_0.05_51200.json,False,51200,0.05,0.9,96073,63098,1100,238
194,194,blosum45,hf_uniref50_mutbpe_0.8_3_12_0.2_800.json,False,800,0.2,0.8,110025,73243,1146,382
195,195,blosum45,hf_uniref50_mutbpe_0.9_3_12_0_12800.json,False,12800,0,0.9,100977,66938,598,143
196,196,blosum45,hf_uniref50_mutbpe_0.8_3_12_0.005_800.json,False,800,0.005,0.8,109988,73153,1214,411
197,197,blosum45,hf_uniref50_mutbpe_0.9_3_12_0.1_51200.json,False,51200,0.1,0.9,95990,63022,1086,236
198,198,blosum45,hf_uniref50_mutbpe_0.7_3_12_0.005_51200.json,False,51200,0.005,0.7,93827,60534,11052,4701
199,199,blosum45,hf_uniref50_mutbpe_0.7_3_12_0_3200.json,False,3200,0,0.7,105219,69481,6146,2604
200,200,blosum45,hf_uniref50_mutbpe_0.7_3_12_0.2_12800.json,False,12800,0.2,0.7,98136,64572,8386,3610
201,201,blosum45,hf_uniref50_mutbpe_0.8_3_12_0.2_25600.json,False,25600,0.2,0.8,96372,63566,5429,1927
202,202,blosum45,hf_uniref50_mutbpe_0.9_3_12_0.005_3200.json,False,3200,0.005,0.9,112446,74949,151,31
203,203,blosum45,hf_uniref50_mutbpe_0.9_3_12_0.05_1600.json,False,1600,0.05,0.9,111473,74201,50,8
204,204,blosum45,hf_uniref50_mutbpe_0.9_3_12_0.05_25600.json,False,25600,0.05,0.9,98199,64734,852,196
205,205,blosum45,hf_uniref50_mutbpe_0.9_3_12_0.005_6400.json,False,6400,0.005,0.9,106368,71027,333,76
206,206,blosum45,hf_uniref50_mutbpe_0.7_3_12_0.2_1600.json,False,1600,0.2,0.7,105309,70135,4710,1952
207,207,blosum45,hf_uniref50_mutbpe_0.7_3_12_0_6400.json,False,6400,0,0.7,104358,68571,7268,3152
208,208,blosum45,hf_uniref50_mutbpe_0.8_3_12_0.1_12800.json,False,12800,0.1,0.8,98640,65526,4972,1806
209,209,blosum45,hf_uniref50_mutbpe_0.7_3_12_0.1_25600.json,False,25600,0.1,0.7,94530,61945,10024,4324
210,210,blosum45,hf_uniref50_mutbpe_0.9_3_12_0.2_12800.json,False,12800,0.2,0.9,100744,66901,591,142
211,211,blosum45,hf_uniref50_mutbpe_0.7_3_12_0.1_1600.json,False,1600,0.1,0.7,104142,68912,4893,2080
212,212,blosum45,hf_uniref50_mutbpe_0.7_3_12_0.05_1600.json,False,1600,0.05,0.7,103907,69076,4855,2035
213,213,blosum45,hf_uniref50_mutbpe_0.9_3_12_0.1_25600.json,False,25600,0.1,0.9,98260,64705,843,195
214,214,blosum45,hf_uniref50_mutbpe_0.8_3_12_0.005_12800.json,False,12800,0.005,0.8,99293,65891,4867,1760
